NEvent,1_1_t,1_2_t,1_3_t,1_4_t,2_1_t,2_2_t,2_3_t,2_4_t,3_1_t,3_2_t,3_3_t,3_4_t,4_1_t,4_2_t,4_3_t,4_4_t,5_1_t,5_2_t,5_3_t,5_4_t,6_1_t,6_2_t,6_3_t,6_4_t,7_1_t,7_2_t,7_3_t,7_4_t,8_1_t,8_2_t,8_3_t,8_4_t,9_1_t,9_2_t,9_3_t,9_4_t,nClusters,mTheta,theta,mPhi,phi
638795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,35.15800000000036,37.13700000000017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.730000000000018,41.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,41.75506030126775,60.94,90.58971874492104,125.49
645787,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.24200000000019,-1.0,0.0,20.35400000000027,-1.0,-1.0,-1.0,-1.0,68.57400000000007,76.12000000000035,46.914999999999964,48.02800000000025,79.70600000000013,55.970000000000255,-1.0,55.06800000000021,86.5340000000001,51.585000000000036,-1.0,51.945000000000164,4,49.29901868953224,59.88,226.871663007349,229.7
650198,147.7199999999998,180.46000000000004,229.75,214.69500000000016,-1.0,-1.0,-1.0,-1.0,148.32699999999977,-1.0,0.0,188.70400000000018,169.7750000000001,-1.0,-1.0,185.75700000000006,-1.0,174.8449999999998,189.2460000000001,-1.0,-1.0,-1.0,-1.0,-1.0,145.01200000000017,100.87699999999995,143.80299999999988,191.77599999999984,-1.0,173.0569999999998,-1.0,190.8829999999998,-1.0,-1.0,-1.0,-1.0,6,,42.73,,126.47
652210,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,40.164999999999964,-1.0,54.29100000000017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,,48.58,,164.64
656844,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.48000000000002,17.384000000000015,40.88999999999987,93.63599999999997,46.15599999999995,10.188000000000102,32.08799999999974,58.460000000000036,67.45100000000002,32.95100000000002,47.2170000000001,86.46399999999994,33.94200000000001,0.0,-1.0,582.2860000000001,-1.0,32.922999999999774,39.460999999999785,73.11099999999988,54.07899999999972,19.063000000000102,43.09999999999991,73.31399999999985,-1.0,-1.0,-1.0,-1.0,6,53.49271707189579,48.79,154.4869503924042,158.55
669127,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84.88400000000001,117.48599999999988,128.96399999999994,100.47199999999975,0.0,169.57499999999982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,119.10699999999997,-1.0,93.76099999999997,-1.0,-1.0,466.19399999999996,86.27700000000004,119.94000000000005,-1.0,-1.0,-1.0,-1.0,4,53.33556576573282,58.05,138.20618363909836,143.75
674250,44.5300000000002,14.856000000000222,36.08199999999988,60.552000000000135,-1.0,-1.0,-1.0,-1.0,28.501000000000204,1.5300000000002,26.804000000000087,58.55799999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,27.945000000000164,28.697000000000116,3.211999999999989,17.710000000000036,40.16800000000012,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,49.84724898859328,51.21,151.57703825678297,153.76
685661,283.13700000000017,243.84900000000016,272.35300000000007,0.0,338.98,220.42500000000018,-1.0,278.1489999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,,63.73,,138.31
689191,35.63700000000017,18.494000000000142,62.672000000000025,66.84900000000016,30.608999999999924,21.88799999999992,-1.0,61.80500000000029,37.807000000000244,19.157000000000153,76.76299999999992,92.89200000000028,29.91000000000031,12.038000000000011,47.490999999999985,68.30000000000018,26.802000000000135,14.860000000000127,47.47900000000027,-1.0,0.15799999999990177,-1.0,21.914999999999964,27.356000000000222,35.45900000000029,-1.0,26.99499999999989,66.56100000000015,34.18600000000015,14.628000000000156,53.20600000000013,87.58300000000008,0.0,-1.0,25.332000000000335,-1.0,9,47.78477924799253,51.06,113.73278045961968,120.56
697516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.272999999999683,-1.0,30.304999999999836,-1.0,-1.0,0.0,26.868999999999687,61.04999999999973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,51.53659642622495,44.7,144.29423701415064,142.31
