RUN	Event	Teta	Fi	Nview	NviewCorr	Sdet	Dens	DensCorr	NgoodPMT	NhitPMT	SumNpeGoodCorr	SpecEnDep	NupSCT	NdnSCT
810	1796540	44.56	237.69	5	5.00226	23.3491	0.124299	0.127165	520	330	5725.13	45021.3	1	1
810	1820088	48.22	235.1	9	9.01319	25.6664	0.269348	0.270544	520	453	17873.2	66063.9	2	1
810	1826232	42.47	145.05	8	8.00926	26.2403	0.225198	0.227196	520	463	14251.1	62726	6	1
810	1827978	48.59	241.67	6	6.00391	23.9032	0.163322	0.16629	520	313	5150.9	30975.3	1	0
810	1836162	46.05	147.59	6	6.00391	28.2888	0.138002	0.14051	520	373	9984.25	71057.1	0	1
810	1841456	61.18	151.03	5	5.00226	35.1306	0.0826134	0.0845185	520	339	6434.76	76134.4	1	1
810	1847735	42.48	120.27	9	9.01319	21.8483	0.316418	0.317823	520	505	31937.3	100488	13	0
810	1849449	49.54	232.09	15	15.0611	27.0053	0.479945	0.470669	520	480	21135.6	44905.4	4	0
810	1854900	41.1	125.71	6	6.00391	22.5607	0.17304	0.176185	520	369	7508.41	42616.5	0	0
810	1865558	43.09	216.55	6	6.00391	26.4392	0.147656	0.15034	520	333	5349.75	35584.4	3	0
810	1869764	42.55	143.54	5	5.00226	26.1596	0.110945	0.113503	520	280	3201.13	28203.1	0	0
810	1871229	43.19	150.75	7	7.00621	26.9196	0.182254	0.184705	520	316	4934.07	26713.2	1	0
810	1873737	56.61	156.1	5	5.00226	33.3609	0.0869959	0.089002	520	269	3736.99	41987.7	0	1
810	1875056	42.5	242.02	5	5.00226	21.2077	0.136849	0.140005	520	342	6084.72	43460.7	2	1
810	1883002	68.62	236.21	5	5.00226	32.3905	0.0896021	0.0916684	520	223	2670.87	29136.2	0	0
810	1889141	41.49	252.77	6	6.00391	17.2446	0.226385	0.230499	520	350	5114.44	22188.5	0	0
810	1896554	68.34	153.48	5	5.00226	37.5226	0.077347	0.0791306	520	185	1763.85	22290.4	0	0
810	1900911	40.29	149.34	7	7.00621	25.2825	0.194055	0.196665	520	416	20759	105555	6	0
810	1902176	58.15	235.82	5	5.00226	29.3694	0.0988191	0.101098	520	295	3848.96	38071.7	1	1
810	1909389	55.38	109.18	5	5.00226	22.9152	0.126652	0.129573	520	293	3464.63	26738.9	0	0
810	1912897	42.71	221.67	6	6.00391	25.668	0.152092	0.154857	520	396	6633.84	42838.5	6	1
810	1921005	53.79	155.77	10	10.0181	32.1585	0.246221	0.246258	520	343	8309.03	33741.1	0	0
810	1926195	53.15	122.67	5	5.00226	27.0649	0.107233	0.109706	520	237	2989.76	27252.4	0	0
810	1927662	45.05	152.03	6	6.00391	27.9334	0.139758	0.142298	520	356	7133.79	50132.7	3	1
810	1928775	57.69	218.17	5	5.00226	33.0541	0.0878033	0.089828	520	341	7054.95	78538.4	1	2
810	1935638	40.22	252.22	7	7.00621	16.9455	0.289529	0.293423	520	494	28296.9	96437.1	16	1
810	1944303	58.3	140.11	7	7.00621	33.0556	0.148423	0.150419	520	411	11024.8	73294.2	1	2
810	1972570	48.63	215.08	5	5.00226	29.3857	0.0987644	0.101042	520	246	3319.96	32857.2	0	1
810	1972929	69.24	214.91	6	6.00391	37.3169	0.104615	0.106517	520	429	13097.1	122959	0	0
810	1989212	54.54	249.39	5	5.00226	23.2487	0.124835	0.127714	520	59	389.076	3046.46	0	0
810	1994017	54.7	109.63	8	8.00926	22.8917	0.25814	0.260431	520	466	15009.5	57633.5	3	2
810	1994291	43.78	225.82	5	5.00226	25.5889	0.113419	0.116034	520	229	3489.66	30074.4	1	0
810	2019320	58.89	218.21	7	7.00621	33.5156	0.146386	0.148354	520	281	3861.76	26030.6	0	0
810	2031173	56.7	201.06	15	15.0611	33.2856	0.38939	0.381864	520	470	21559.8	56459.3	2	0
811	3368	52.09	221.79	6	6.00391	30.1902	0.129311	0.131661	524	268	6063.1	46050.9	2	0
811	24106	42.54	240.77	5	5.00226	21.5853	0.134456	0.137556	524	388	8247.74	59959	1	0
811	30714	56.89	195.09	5	5.00226	32.8359	0.0883869	0.0904251	524	246	3722.36	41165.1	0	0
